Id,Lat,Lon
18,43.423,3.881
65,34.343,-91.555
90,50.435,8.555
92,36.652,-110.897
107,39.222,-82.255
109,33.809,-102.695
174,41.107,-76.820
302,38.351,-77.701
371,41.780,-66.776
388,35.806,-81.752
406,49.214,-2.473
408,35.921,-109.620
442,23.971,-95.988
493,36.428,-111.426
533,36.506,-97.113
622,39.507,-100.626
626,49.255,-105.755
691,38.510,-67.039
698,49.979,-3.777
788,2.066,94.410
950,35.249,-110.531
979,33.064,-107.850
1027,41.665,-78.070
1110,33.386,105.386
1150,39.989,-7.578
1225,43.262,-66.773
1227,42.439,-80.953
1263,39.505,-101.732
1323,46.938,-114.614
1402,36.627,-74.755
1407,37.677,-112.419
1444,37.636,-95.390
1504,49.276,-2.775
1740,41.192,-98.016
1868,43.820,-90.631
1903,38.662,-71.550
1931,39.777,-97.715
1967,45.165,-115.032
2006,23.176,-144.701
2040,63.663,18.269
2056,41.094,-71.666
2096,37.708,-113.705
2227,37.841,-73.165
2352,-17.334,121.616
2427,39.305,-67.223
2569,40.845,-70.067
2698,35.367,-77.017
2707,-18.556,105.851
2715,48.995,-2.754
2761,39.257,-72.055
2799,27.796,-74.762
3018,41.161,-95.924
3036,49.687,-2.686
3045,49.112,-2.862
3048,33.381,-93.683
3244,41.164,-100.679
3326,48.381,-2.975
3388,48.218,0.277
3390,37.605,-106.877
3409,38.345,-94.802
3438,33.634,-107.341
3461,41.098,-63.335
3498,-18.287,123.506
3508,34.215,-109.917
3577,7.859,-7.414
3673,34.772,-110.076
3810,44.012,-67.870
3885,33.383,-94.957
3971,34.500,127.458
4050,35.087,126.070
4065,48.539,5.515
4273,44.548,5.630
4280,48.383,4.910
4309,38.389,-77.341
4312,46.079,-113.012
4571,43.093,-74.394
4593,39.598,-73.117
4615,56.045,14.653
4693,34.590,-104.394
4713,48.691,1.729
4722,49.388,-1.651
4837,35.959,-111.010
4990,35.836,124.480
5079,31.890,-90.803
5150,41.166,-65.214
5242,34.883,-109.707
5325,36.986,-111.720
5334,35.430,125.336
5339,19.910,103.351
5460,56.230,8.695
5467,37.666,-93.908
5490,32.410,-94.858
5532,39.525,-72.790
5554,40.458,-70.407
5567,40.074,-106.975
5604,49.432,-0.767
5613,48.914,-105.031
5617,38.527,-33.305
5662,38.413,-114.734
5667,37.363,-90.035
5715,40.760,-71.107
5778,55.769,23.313
5976,35.264,125.545
6068,38.725,-95.674
6098,39.111,-69.971
6168,39.240,-66.941
6260,33.637,-102.526
6295,41.118,-65.966
6348,32.153,-94.042
6384,43.533,-75.474
6406,42.675,-72.919
6417,36.463,-110.428
6472,37.475,-83.347
6483,35.663,-84.149
6641,37.753,-84.493
6692,38.624,-96.240
6738,38.552,-89.416
6811,45.561,-111.836
6860,40.161,-75.032
6865,39.629,-98.205
6898,55.096,16.627
6903,41.521,-82.466
6971,38.049,-92.264
6995,40.702,-99.876
6999,35.696,-111.889
7302,35.008,-87.548
7304,32.875,-96.490
7317,-10.972,-52.722
7390,50.963,-3.742
7413,34.492,126.902
7417,41.841,-84.933
7460,30.147,-87.192
7461,34.345,-95.181
7466,35.196,-75.810
7526,37.143,-78.850
7554,49.065,-2.215
7788,43.053,-90.496
7883,7.466,-6.283
8071,41.386,-77.683
8079,35.715,-94.496
8124,46.219,13.387
8188,42.340,-69.872
8194,42.554,-111.311
8252,46.143,-112.750
8295,43.999,-77.987
8296,2.331,91.992
8415,55.543,15.603
8533,33.833,-98.711
8641,34.679,125.847
8650,48.830,-0.627
8652,49.763,3.310
8733,38.282,-114.499
8787,7.031,-5.838
8790,30.220,-78.183
8916,35.513,125.197
8941,37.831,-113.264
8966,29.813,-79.262
9024,34.451,-108.961
9050,-22.288,119.478
9071,38.999,104.795
9197,39.150,-67.019
9279,42.114,126.535
9283,34.778,126.818
9445,40.720,-70.139
9801,38.017,-108.049
9865,49.627,3.540
9868,36.518,-110.423
9908,55.040,16.443
9912,50.422,0.051
9945,58.254,3.854
9981,40.634,-73.686
10042,38.529,-114.611
10044,31.405,-90.945
10114,42.736,-94.862
10165,38.839,-109.793
10226,41.741,-78.236
10264,33.911,-108.408
10312,43.119,-69.564
10383,-3.523,-48.990
10436,39.245,-23.746
10693,36.315,-89.233
10770,55.125,16.598
10832,49.102,-3.334
