Id,Lat,Lon
18,42.845,5.038
65,34.124,-91.128
90,50.631,8.223
92,37.932,-113.808
107,38.434,-80.483
109,34.954,-104.988
174,40.207,-75.035
302,39.223,-79.334
371,41.856,-66.671
388,34.843,-79.811
406,48.880,-1.845
408,37.738,-113.418
442,23.393,-94.928
493,36.160,-111.012
533,37.132,-98.291
622,39.761,-101.058
626,48.697,-104.660
691,40.221,-70.625
698,48.636,-1.016
788,1.186,96.293
950,35.179,-110.102
979,34.029,-109.636
1027,40.194,-75.022
1110,32.700,106.709
1150,40.025,-7.571
1225,42.755,-65.835
1227,42.076,-80.288
1263,41.756,-105.752
1323,45.953,-112.583
1402,37.597,-76.840
1407,38.105,-113.655
1444,38.858,-98.149
1504,48.850,-1.756
1740,42.497,-100.797
1868,43.479,-89.630
1903,40.458,-75.279
1931,39.667,-97.779
1967,44.287,-113.146
2006,24.962,-147.954
2040,63.530,18.298
2056,41.264,-72.208
2096,37.903,-113.602
2227,37.319,-72.090
2352,-19.374,125.884
2427,40.505,-69.499
2569,40.519,-69.411
2698,36.591,-79.283
2707,-17.833,104.358
2715,48.958,-2.864
2761,39.791,-72.964
2799,28.889,-76.937
3018,40.316,-94.237
3036,49.003,-1.207
3045,48.686,-1.921
3048,31.803,-90.402
3244,39.864,-98
3326,47.663,-1.358
3388,49.006,-1.206
3390,38.450,-109.012
3409,39.648,-97.784
3438,35.167,-110.502
3461,42.494,-66.511
3498,-19.408,125.887
3508,34.036,-109.679
3577,7.791,-7.278
3673,34.895,-110.254
3810,44.270,-68.605
3885,32.113,-92.346
3971,36.249,123.780
4050,36.263,123.789
4065,48.607,5.168
4273,44.162,6.517
4280,48.937,3.842
4309,41.195,-82.099
4312,45.900,-112.402
4571,42.869,-74.027
4593,41.036,-76.388
4615,55.257,16.169
4693,34.791,-104.984
4713,47.490,4.182
4722,49.042,-1.026
4837,36.096,-111.461
4990,36.254,123.769
5079,31.684,-90.320
5150,41.853,-66.515
5242,35.056,-110.279
5325,38.086,-113.839
5334,36.245,123.795
5339,19.385,104.322
5460,55.721,9.656
5467,39.653,-97.783
5490,31.799,-93.832
5532,39.202,-72.250
5554,40.235,-69.716
5567,40.112,-106.929
5604,50.272,-2.626
5613,48.697,-104.660
5617,38.184,-32.482
5662,38.091,-113.818
5667,38.089,-91.389
5715,40.080,-69.658
5778,55.974,22.608
5976,36.182,123.681
6068,39.648,-97.867
6098,39.681,-71.060
6168,40.501,-69.476
6260,34.569,-104.769
6295,41.647,-66.805
6348,31.744,-92.905
6384,42.802,-74.105
6406,42.364,-72.451
6417,38.086,-113.745
6472,36.446,-81.261
6483,34.656,-82.032
6641,39.642,-88.396
6692,40.220,-99.530
6738,37.576,-87.488
6811,45.827,-112.566
6860,39.138,-72.961
6865,39.648,-97.784
6898,55.255,16.241
6903,41.309,-81.791
6971,38.413,-93.234
6995,39.869,-98.010
6999,35.140,-110.530
7302,35.195,-88.111
7304,33.130,-96.863
7317,-11.023,-52.450
7390,50.496,-2.786
7413,36.265,123.790
7417,42.606,-86.664
