Id,Lat,Lon
18,38.178,-49.888
65,37.328,-46.744
90,36.418,-41.915
92,32.566,-31.848
107,39.711,-55.195
109,33.929,-31.102
174,38.879,-54.335
302,34.022,-34.313
371,37.230,-42.272
388,38.887,-54.779
406,37.452,-48.191
408,31.524,-24.597
442,38.562,-49.847
493,37.966,-47.328
533,36.015,-36.553
622,36.149,-41.298
626,38.609,-51.127
691,31.972,-26.227
698,40.249,-58.686
788,38.253,-49.746
950,37.584,-44.000
979,33.801,-33.700
1027,40.795,-60.260
1110,37.252,-50.091
1150,36.571,-44.236
1225,38.498,-49.811
1227,38.662,-50.529
1263,32.901,-32.073
1323,39.869,-55.576
1402,34.010,-33.991
1407,35.188,-40.617
1444,32.965,-34.951
1504,38.493,-48.056
1740,33.143,-30.450
1868,38.660,-47.267
1903,31.743,-24.407
1931,37.095,-46.092
1967,39.692,-54.177
2006,33.333,-34.286
2040,36.847,-46.660
2056,35.067,-43.407
2096,37.690,-46.206
2227,38.116,-50.122
2352,41.066,-61.030
2427,33.108,-31.379
2569,37.685,-47.864
2698,33.368,-32.667
2707,33.543,-33.065
2715,36.270,-45.070
2761,35.773,-37.560
2799,33.159,-31.714
3018,38.614,-53.998
3036,39.007,-51.292
3045,38.221,-48.314
3048,41.066,-61.030
3244,40.249,-58.686
3326,39.158,-52.803
3388,34.759,-34.954
3390,33.647,-36.345
3409,32.457,-31.310
3438,32.347,-27.375
3461,32.105,-29.982
3498,38.494,-51.155
3508,36.162,-46.966
3577,36.103,-42.467
3673,36.185,-42.763
3810,34.795,-42.631
3885,39.977,-57.910
3971,31.163,-23.955
4050,33.014,-29.813
4065,36.100,-43.746
4273,38.077,-47.343
4280,34.804,-37.908
4309,32.909,-35.777
4312,38.256,-51.463
4571,38.125,-46.751
4593,32.015,-29.599
4615,38.599,-53.103
4693,34.800,-43.059
4713,39.704,-57.123
4722,37.906,-47.709
4837,35.073,-43.841
4990,35.847,-40.717
5079,37.320,-46.027
5150,34.393,-36.583
5242,35.237,-43.328
5325,33.597,-32.357
5334,34.426,-37.066
5339,36.436,-47.753
5460,37.941,-50.182
5467,32.042,-27.488
5490,38.730,-50.785
5532,38.257,-47.629
5554,38.064,-45.794
5567,37.555,-43.268
5604,33.635,-35.549
5613,38.031,-47.108
5617,38.014,-48.953
5662,38.417,-52.962
5667,34.628,-35.889
5715,38.685,-51.379
5778,35.486,-42.765
5976,33.683,-31.960
6068,33.295,-35.633
6098,35.880,-37.082
6168,33.291,-30.148
6260,33.466,-34.912
6295,35.924,-39.329
6348,38.645,-47.145
6384,38.677,-52.619
6406,38.115,-47.708
6417,32.403,-28.333
6472,39.159,-55.561
6483,39.924,-55.389
6641,31.498,-24.740
6692,32.464,-28.983
6738,39.322,-55.037
6811,34.800,-43.059
6860,39.159,-55.561
6865,38.265,-47.533
6898,36.080,-42.531
6903,38.165,-45.624
6971,34.428,-41.429
6995,39.593,-55.347
6999,39.076,-54.622
7302,34.800,-43.059
7304,36.995,-40.160
7317,37.262,-40.508
7390,38.038,-49.839
7413,33.216,-33.637
7417,33.954,-36.863
7460,32.543,-27.248
7461,37.280,-41.263
7466,33.456,-33.871
7526,40.259,-56.558
7554,37.418,-46.087
7788,38.458,-49.454
7883,34.473,-39.139
8071,39.280,-50.029
8079,33.507,-32.610
8124,35.943,-41.978
8188,37.798,-46.102
8194,34.565,-38.498
8252,36.435,-47.747
8295,40.521,-59.467
8296,37.798,-51.665
8415,37.060,-47.803
8533,33.091,-29.878
8641,35.739,-43.763
8650,34.801,-43.065
8652,37.575,-47.436
8733,37.252,-50.091
8787,33.524,-33.284
8790,36.821,-43.214
8916,34.266,-33.322
8941,35.931,-44.210
8966,39.159,-55.561
9024,34.528,-37.765
9050,34.614,-42.244
9071,33.801,-34.643
9197,32.899,-30.396
9279,34.964,-42.541
9283,32.210,-26.322
9445,38.287,-47.539
9801,37.197,-46.958
9865,36.927,-42.806
9868,32.472,-26.773
9908,36.326,-44.797
9912,34.125,-32.378
9945,39.431,-56.342
9981,38.949,-53.401
10042,38.574,-50.451
10044,34.509,-35.521
10114,35.016,-40.761
10165,33.944,-38.184
10226,41.067,-61.041
10264,33.283,-31.485
10312,40.521,-59.467
10383,31.844,-27.619
10436,34.257,-34.542
10693,35.642,-39.777
10770,36.017,-43.151
10832,37.248,-47.685
10842,36.707,-48.529
10876,37.184,-45.136
10905,33.782,-33.545
11058,40.521,-59.467
11084,34.332,-33.228
11100,39.659,-54.416
11110,39.705,-57.129
11114,34.902,-41.477
11259,38.889,-54.796
11276,38.897,-52.147
11278,37.893,-47.089
11316,35.790,-41.858
11342,39.349,-53.022
11532,38.342,-53.217
11570,32.271,-28.118
11584,36.980,-49.310
11628,40.379,-57.795
11657,34.972,-38.852
11698,37.088,-45.723
11706,33.077,-32.165
11784,39.196,-52.144
11806,39.432,-56.347
11808,40.205,-57.357
11816,37.102,-46.450
11830,41.066,-61.030
11865,32.209,-28.113
11931,37.336,-45.805
12045,33.511,-32.527
12126,35.006,-36.428
12237,37.525,-50.878
12312,33.348,-33.515
12413,37.797,-51.654
12467,39.689,-56.234
12492,39.159,-55.561
12676,38.038,-50.646
12694,33.837,-34.159
12966,39.716,-54.507
