Id,Lat,Lon
18,41.266,-64.262
65,41.330,-41.854
90,39.359,28.615
92,35.156,-90.939
107,39.743,-74.512
109,20.625,34.859
174,38.124,-61.225
302,35.294,-86.063
371,38.787,-94.746
388,38.046,-40.756
406,42.125,-47.092
408,31.656,-64.908
442,36.230,-91.371
493,38.340,-99.115
533,37.344,-100.993
622,42.910,5.264
626,42.025,-60.459
691,32.127,-43.257
698,38.188,-66.346
788,41.335,-66.717
950,38.627,-97.392
979,33.179,-84.450
1027,36.833,-63.488
1110,38.235,-3.601
1150,43.169,2.210
1225,41.893,-49.929
1227,33.614,-82.500
1263,34.580,-53.054
1323,40.454,-69.728
1402,28.643,76.018
1407,31.114,7.608
1444,33.572,-89.272
1504,43.145,-7.187
1740,28.872,-0.124
1868,37.593,-92.427
1903,31.868,-86.930
1931,35.503,-80.062
1967,40.339,-69.998
2006,31.895,0.341
2040,39.743,7.433
2056,33.640,-75.157
2096,37.469,-100.447
2227,41.177,-67.311
2352,36.290,-66.497
2427,35.103,-89.273
2569,41.506,-56.728
2698,37.379,-93.832
2707,29.650,63.325
2715,39.229,8.652
2761,34.881,-12.893
2799,36.210,-75.814
3018,38.046,-31.964
3036,41.552,-59.073
3045,42.785,-20.687
3048,36.290,-66.497
3244,38.188,-66.346
3326,41.164,-72.120
3388,28.722,46.559
3390,31.915,-59.469
3409,34.956,-90.740
3438,27.626,-27.868
3461,34.215,-89.984
3498,41.328,-68.429
3508,31.527,-58.319
3577,42.297,14.367
3673,43.454,15.405
3810,34.752,-75.157
3885,37.847,-63.337
3971,32.692,-47.337
4050,27.679,22.669
4065,41.451,19.336
4273,43.397,-11.873
4280,36.068,-26.035
4309,29.232,-81.413
4312,40.720,-74.066
4571,37.305,-78.241
4593,34.907,-89.386
4615,39.127,-61.308
4693,34.307,-64.126
4713,38.026,-63.479
4722,43.332,-30.378
4837,32.839,-64.126
4990,34.606,46.901
5079,41.650,-26.947
5150,31.436,-54.951
5242,34.805,-69.280
5325,36.333,-77.844
5334,29.755,81.227
5339,31.348,-42.246
5460,39.872,-54.413
5467,33.176,-50.173
5490,34.523,-72.215
5532,36.830,-82.773
5554,37.533,-87.699
5567,36.207,-30.453
5604,34.205,-25.431
5613,38.368,-91.451
5617,41.733,-61.996
5662,40.882,-70.032
5667,34.499,-56.544
5715,41.204,-68.242
5778,37.600,19.982
5976,25.549,43.127
6068,30.107,-11.738
6098,36.207,-90.578
6168,23.057,38.689
6260,35.477,-81.565
6295,33.136,-24.913
6348,36.959,-96.215
6384,39.726,-53.289
6406,37.224,-86.062
6417,32.389,-23.136
6472,38.026,-54.935
6483,39.199,-73.195
6641,32.861,-68.824
6692,31.258,-12.295
6738,39.127,-67.674
6811,34.307,-64.126
6860,38.026,-54.935
6865,37.332,-97.734
6898,41.874,12.018
6903,37.317,-96.080
6971,36.969,-74.083
6995,40.816,-77.798
6999,40.769,-76.704
7302,34.307,-64.126
7304,36.123,-98.679
7317,35.837,-95.243
7390,41.025,-69.386
7413,33.209,-24.388
7417,33.446,-41.921
7460,30.707,-50.186
7461,33.219,-82.275
7466,33.207,-92.675
7526,38.921,-75.077
7554,42.622,-19.620
7788,35.214,-100.770
7883,31.364,-43.783
8071,34.720,-81.823
8079,35.772,-91.147
8124,40.261,18.833
8188,43.253,-26.758
8194,34.881,-46.810
8252,31.527,-46.201
8295,38.188,-66.346
8296,38.730,3.724
8415,44.036,-19.211
8533,30.045,-28.877
8641,29.011,56.636
8650,34.128,-60.171
8652,43.476,-19.128
8733,38.235,-3.601
8787,35.801,-92.049
8790,38.874,-91.913
8916,27.193,50.400
8941,41.081,-55.152
8966,38.026,-54.935
9024,34.189,-17.442
9050,34.419,-71.749
9071,24.007,81.042
9197,34.619,-54.595
9279,34.805,-74.189
9283,31.744,-38.902
9445,36.908,-89.242
9801,36.208,-71.794
9865,42.928,29.681
9868,30.656,-53.504
9908,41.306,2.242
9912,27.729,46.693
9945,38.026,-58.806
9981,39.726,-56.156
10042,32.978,-92.366
10044,34.499,-46.774
10114,35.682,-61.418
10165,38.217,-91.087
10226,36.095,-63.488
10264,36.483,-94.684
10312,38.188,-66.346
