# Id,Lat,Lon
18.000,44.062,2.959
65.000,33.907,-90.532
90.000,52.034,13.358
92.000,36.968,-115.704
107.000,37.790,-85.234
109.000,33.993,-92.103
174.000,39.737,-79.116
302.000,37.931,-89.951
371.000,41.185,-73.220
388.000,34.456,-79.971
406.000,50.376,-7.154
408.000,36.049,-114.035
442.000,23.758,-102.099
493.000,36.319,-115.376
533.000,36.689,-106.018
622.000,39.060,-75.321
626.000,49.991,-100.702
691.000,39.513,-74.738
698.000,48.259,-8.418
788.000,15.451,68.288
950.000,35.116,-110.303
979.000,33.900,-116.197
1027.000,39.612,-77.919
1110.000,31.128,94.220
1150.000,40.195,-4.769
1225.000,42.858,-62.913
1227.000,42.320,-88.011
1263.000,42.725,-112.129
1323.000,46.120,-113.025
1402.000,35.414,-56.609
1407.000,36.904,-87.715
1444.000,37.905,-104.359
1504.000,50.348,-1.883
1740.000,40.052,-99.282
1868.000,43.761,-98.833
1903.000,39.457,-79.270
1931.000,39.179,-89.108
1967.000,44.666,-116.496
2006.000,19.936,-151.738
2040.000,64.868,21.007
2056.000,40.014,-77.272
2096.000,37.628,-112.157
2227.000,36.550,-77.500
2352.000,-28.555,109.271
2427.000,39.743,-76.679
2569.000,40.653,-70.519
2698.000,35.476,-89.177
2707.000,-29.373,130.080
2715.000,49.566,1.257
2761.000,38.781,-69.418
2799.000,27.722,-78.894
3018.000,39.783,-82.214
3036.000,50.888,-5.528
3045.000,50.293,-3.489
3048.000,32.056,-91.678
3244.000,39.671,-98.995
3326.000,50.577,-8.201
3388.000,49.045,0.743
3390.000,36.217,-103.723
3409.000,39.042,-102.913
3438.000,33.996,-113.738
3461.000,42.592,-77.201
3498.000,3.943,12.731
3508.000,33.935,-102.596
3577.000,37.207,10.969
3673.000,34.737,-73.246
3810.000,42.032,-74.842
3885.000,32.422,-92.222
3971.000,35.268,136.956
4050.000,35.567,138.740
4065.000,50.437,8.561
4273.000,45.493,9.694
4280.000,46.769,1.492
4309.000,41.238,-83.836
4312.000,47.037,-112.615
4571.000,43.297,-78.854
4593.000,40.781,-84.356
4615.000,57.923,11.893
4693.000,34.970,-102.810
4713.000,48.865,-1.050
4722.000,50.942,-3.135
4837.000,35.059,-105.506
4990.000,35.394,140.025
5079.000,30.986,-80.327
5150.000,40.219,-71.911
5242.000,34.618,-108.468
5325.000,37.473,-117.630
5334.000,35.083,139.154
5339.000,17.756,96.998
5460.000,59.115,7.348
5467.000,38.955,-104.485
5490.000,32.346,-95.135
5532.000,38.422,-79.593
5554.000,39.486,-75.519
5567.000,39.723,-98.127
5604.000,45.315,-10.353
5613.000,49.192,-110.016
5617.000,37.097,-28.672
5662.000,37.593,-109.125
5667.000,36.612,-89.397
5715.000,38.906,-75.835
5778.000,58.388,23.749
5976.000,34.875,137.148
6068.000,38.996,-89.421
6098.000,38.255,-79.537
6168.000,38.691,-54.919
