# Id,Lat,Lon
18.000,38.178,-49.888
65.000,37.328,-46.744
90.000,36.418,-41.915
92.000,32.566,-31.848
107.000,39.711,-55.195
109.000,33.929,-31.102
174.000,38.879,-54.335
302.000,34.022,-34.313
371.000,37.230,-42.272
388.000,38.887,-54.779
406.000,37.452,-48.191
408.000,31.524,-24.597
442.000,38.562,-49.847
493.000,37.966,-47.328
533.000,36.015,-36.553
622.000,36.149,-41.298
626.000,38.609,-51.127
691.000,31.972,-26.227
698.000,40.249,-58.686
788.000,38.253,-49.746
950.000,37.584,-44.000
979.000,33.801,-33.700
1027.000,40.795,-60.260
1110.000,37.252,-50.091
1150.000,36.571,-44.236
1225.000,38.498,-49.811
1227.000,38.662,-50.529
1263.000,32.901,-32.073
1323.000,39.869,-55.576
1402.000,34.010,-33.991
1407.000,35.188,-40.617
1444.000,32.965,-34.951
1504.000,38.493,-48.056
1740.000,33.143,-30.450
1868.000,38.660,-47.267
1903.000,31.743,-24.407
1931.000,37.095,-46.092
1967.000,39.692,-54.177
2006.000,33.333,-34.286
2040.000,36.847,-46.660
2056.000,35.067,-43.407
2096.000,37.690,-46.206
2227.000,38.116,-50.122
2352.000,41.066,-61.030
2427.000,33.108,-31.379
2569.000,37.685,-47.864
2698.000,33.368,-32.667
2707.000,33.543,-33.065
2715.000,36.270,-45.070
2761.000,35.773,-37.560
2799.000,33.159,-31.714
3018.000,38.614,-53.998
3036.000,39.007,-51.292
3045.000,38.221,-48.314
3048.000,41.066,-61.030
3244.000,40.249,-58.686
3326.000,39.158,-52.803
3388.000,34.759,-34.954
3390.000,33.647,-36.345
3409.000,32.457,-31.310
3438.000,32.347,-27.375
3461.000,32.105,-29.982
3498.000,38.494,-51.155
3508.000,36.162,-46.966
3577.000,36.103,-42.467
3673.000,36.185,-42.763
3810.000,34.795,-42.631
3885.000,39.977,-57.910
3971.000,31.163,-23.955
4050.000,33.014,-29.813
4065.000,36.100,-43.746
4273.000,38.077,-47.343
4280.000,34.804,-37.908
4309.000,32.909,-35.777
4312.000,38.256,-51.463
4571.000,38.125,-46.751
4593.000,32.015,-29.599
4615.000,38.599,-53.103
4693.000,34.800,-43.059
4713.000,39.704,-57.123
4722.000,37.906,-47.709
4837.000,35.073,-43.841
4990.000,35.847,-40.717
5079.000,37.320,-46.027
5150.000,34.393,-36.583
5242.000,35.237,-43.328
5325.000,33.597,-32.357
5334.000,34.426,-37.066
5339.000,36.436,-47.753
5460.000,37.941,-50.182
5467.000,32.042,-27.488
5490.000,38.730,-50.785
5532.000,38.257,-47.629
5554.000,38.064,-45.794
5567.000,37.555,-43.268
5604.000,33.635,-35.549
5613.000,38.031,-47.108
5617.000,38.014,-48.953
5662.000,38.417,-52.962
5667.000,34.628,-35.889
5715.000,38.685,-51.379
5778.000,35.486,-42.765
5976.000,33.683,-31.960
6068.000,33.295,-35.633
6098.000,35.880,-37.082
6168.000,33.291,-30.148
6260.000,33.466,-34.912
6295.000,35.924,-39.329
6348.000,38.645,-47.145
6384.000,38.677,-52.619
6406.000,38.115,-47.708
6417.000,32.403,-28.333
6472.000,39.159,-55.561
6483.000,39.924,-55.389
6641.000,31.498,-24.740
6692.000,32.464,-28.983
6738.000,39.322,-55.037
6811.000,34.800,-43.059
6860.000,39.159,-55.561
6865.000,38.265,-47.533
6898.000,36.080,-42.531
6903.000,38.165,-45.624
6971.000,34.428,-41.429
6995.000,39.593,-55.347
6999.000,39.076,-54.622
7302.000,34.800,-43.059
7304.000,36.995,-40.160
7317.000,37.262,-40.508
7390.000,38.038,-49.839
7413.000,33.216,-33.637
7417.000,33.954,-36.863
7460.000,32.543,-27.248
7461.000,37.280,-41.263
7466.000,33.456,-33.871
7526.000,40.259,-56.558
7554.000,37.418,-46.087
7788.000,38.458,-49.454
7883.000,34.473,-39.139
8071.000,39.280,-50.029
8079.000,33.507,-32.610
8124.000,35.943,-41.978
8188.000,37.798,-46.102
8194.000,34.565,-38.498
8252.000,36.435,-47.747
8295.000,40.521,-59.467
8296.000,37.798,-51.665
8415.000,37.060,-47.803
8533.000,33.091,-29.878
8641.000,35.739,-43.763
8650.000,34.801,-43.065
8652.000,37.575,-47.436
8733.000,37.252,-50.091
8787.000,33.524,-33.284
8790.000,36.821,-43.214
8916.000,34.266,-33.322
8941.000,35.931,-44.210
8966.000,39.159,-55.561
9024.000,34.528,-37.765
9050.000,34.614,-42.244
9071.000,33.801,-34.643
9197.000,32.899,-30.396
9279.000,34.964,-42.541
9283.000,32.210,-26.322
9445.000,38.287,-47.539
9801.000,37.197,-46.958
9865.000,36.927,-42.806
9868.000,32.472,-26.773
9908.000,36.326,-44.797
9912.000,34.125,-32.378
9945.000,39.431,-56.342
9981.000,38.949,-53.401
10042.000,38.574,-50.451
10044.000,34.509,-35.521
10114.000,35.016,-40.761
10165.000,33.944,-38.184
10226.000,41.067,-61.041
10264.000,33.283,-31.485
10312.000,40.521,-59.467
10383.000,31.844,-27.619
10436.000,34.257,-34.542
10693.000,35.642,-39.777
10770.000,36.017,-43.151
10832.000,37.248,-47.685
10842.000,36.707,-48.529
10876.000,37.184,-45.136
10905.000,33.782,-33.545
11058.000,40.521,-59.467
11084.000,34.332,-33.228
11100.000,39.659,-54.416
11110.000,39.705,-57.129
11114.000,34.902,-41.477
11259.000,38.889,-54.796
11276.000,38.897,-52.147
11278.000,37.893,-47.089
11316.000,35.790,-41.858
11342.000,39.349,-53.022
11532.000,38.342,-53.217
11570.000,32.271,-28.118
11584.000,36.980,-49.310
11628.000,40.379,-57.795
11657.000,34.972,-38.852
11698.000,37.088,-45.723
11706.000,33.077,-32.165
11784.000,39.196,-52.144
11806.000,39.432,-56.347
11808.000,40.205,-57.357
11816.000,37.102,-46.450
11830.000,41.066,-61.030
11865.000,32.209,-28.113
11931.000,37.336,-45.805
12045.000,33.511,-32.527
12126.000,35.006,-36.428
12237.000,37.525,-50.878
12312.000,33.348,-33.515
12413.000,37.797,-51.654
